Source,Interaction
LMTK2,PPP1CA
PLXND1,UBC
PLXND1,SEMA4A
PLXND1,MACF1
PLXND1,SEMA3E
PLXND1,NRP1
RAB11FIP2,RAB11A
RAB11FIP2,MYO5B
RAB11FIP2,REPS1
RAB11FIP2,RAB11FIP4
RAB11FIP2,YWHAE
RAB11FIP2,RAB25
RAB11FIP2,RAB11B
RAB11FIP2,RAB11FIP1
RAB11FIP2,CXCR2
RAB11FIP2,RAB11FIP5
RAB11FIP2,TWHAG
RAB11FIP2,AP2A1
RAB11FIP2,EHD1
RAB11FIP2,MARK2
RAB11FIP2,PES15
RAB11FIP2,ITSN1
RAB11FIP2,YWHAB
SHANK3,BAIAP2L1
SHANK3,SLGAP3
SHANK3,DLGAP4
SHANK3,CNKSR2
SHANK3,DLGAP1
SHANK3,DLGAP2
SHANK3,DBNL
SHANK3,SHANK1
SHANK3,ARHGEF7
SHANK3,PAX6
SHANK3,ABCC2
SHANK3,SPTAN1
SHANK3,CRK
SHANK3,NCK1
SHANK3,CRKL
SHANK3,PIK3R1
SHANK3,PLCG1
SHANK3,PPP1CC
SHANK3,SRC
SHANK3,ABL1
SHANK3,FYN
SHANK3,GRB2
SHANK3,MAPK1
SHANK3,CSNK2B
ACVR1B,NDRG1
ACVR1B,ACVR2B
ACVR1B,INHBA
ACVR1B,CFC1
ACVR1B,FKBP1A
ACVR1B,ACVR2A
ACVR1B,XIAP
ACVR1B,TDGF1
ACVR1B,INHBB
ACVR1B,INHBC
ACVR1B,IGSF1
ACVR1B,SNX1
ACVR1B,NEDD4L
ACVR1B,TGFBRAP1
ACVR1B,BAMBI
ACVR1B,SNX2
ACVR1B,TSC22D1
ACVR1B,PEG10
ACVR1B,SMAD7
ACVR1B,ACVR1
ACVR1B,GDF11
ACVR1B,SMAD6
ACVR1B,OS9
ACVR1B,PRKACB
ACVR1B,BMPR2
ACVR1B,SMURF1
ACVR1B,RXRA
ACVR1B,HSP90AB1
ACVR1B,SMAD3
ACVR1B,SMAD4
ACVR1B,HSP90AA1
ACVR1B,SMAD2
ACVR1B,BAG6
SYNGAP1,SAAL1
SYNGAP1,ERBB2
SYNGAP1,ULK2
SYNGAP1,ULK1
SYNGAP1,DOK1
SYNGAP1,ACPP
SYNGAP1,PDZK1
SYNGAP1,DLGAP4
SYNGAP1,MPDZ
SYNGAP1,EGFR
SYNGAP1,TRIP6
SYNGAP1,CAMK2A
SYNGAP1,DLG4
SYNGAP1,GRIN2B
SYNGAP1,GRIN2D
SYNGAP1,KDR
SYNGAP1,OPTN
SYNGAP1,PDGFRB
SYNGAP1,GRIN1
SRCIN1,SYP
SRCIN1,SORBS3
SRCIN1,SNAP25
SRCIN1,BCAR1
SRCIN1,SNCA
SRCIN1,MAPRE3
SRCIN1,CSK
SRCIN1,CTNN
SRCIN1,CRK
SRCIN1,SRC
BSN,UBC
BSN,UNC13A
BSN,ERC2
BSN,RIMS1
BSN,RAB3A
BSN,ARRB2
GRIN2B,SSR4
GRIN2B,KARS
GRIN2B,CAMK2N1
GRIN2B,PTPN12
GRIN2B,PTPRB
GRIN2B,PTPRG
GRIN2B,PTPRC
GRIN2B,PTPRJ
GRIN2B,CAMK2A
GRIN2B,MIB2
GRIN2B,EXOC4
GRIN2B,DLGAP2
GRIN2B,LIN7B
GRIN2B,EXOC7
GRIN2B,AKAP5
GRIN2B,IL16
GRIN2B,DLG2
GRIN2B,LIN7A
GRIN2B,CAMK2G
GRIN2B,GRIN1
GRIN2B,EXOC3
GRIN2B,ARHGAP32
GRIN2B,ACTN2
GRIN2B,GRIN3A
GRIN2B,MAGI3
GRIN2B,PARK2
GRIN2B,DLG4
GRIN2B,GNB2L1
GRIN2B,CAMK2D
GRIN2B,AP4M1
GRIN2B,SYNGAP1
GRIN2B,SPTAN1
GRIN2B,TANC1
GRIN2B,PPP3CA
GRIN2B,ERBB2IP
GRIN2B,PIK3CA
GRIN2B,ERBB2IP
GRIN2B,PIK3CA
GRIN2B,KDM5B
GRIN2B,INADL
GRIN2B,FYN
GRIN2B,PRKCA
GRIN2B,EPHB2
GRIN2B,DLG1
GRIN2B,SRC
GRIN2B,AP2M1
GRIN2B,AP1M1
GRIN2B,CAPN1
GRIN2B,PLCG1
GRIN2B,PPP1CA
GRIN2B,PRKCB
GRIN2B,PTPN11
GRIN2B,TAT
GRIN2B,UBC
PRKCG,TRPC3
PRKCG,GABRA4
PRKCG,MAP2K4
PRKCG,GABRA1
PRKCG,AFAP1
PRKCG,GRIA4
PRKCG,TIAM1
PRKCG,CASR
PRKCG,CCHCR1
PRKCG,ANXA7
PRKCG,GLRB
PRKCG,RGS2
PRKCG,YWHAB
PRKCG,IBTK
PRKCG,CDC42
PRKCG,PDLIM5
PRKCG,CD5
PRKCG,EXOC5
PRKCG,PARD6B
PRKCG,GABRR1
PRKCG,NOXA1
PRKCG,NRGN
PRKCG,MARCKS
PRKCG,SDC2
PRKCG,GJA3
PRKCG,PNMA1
PRKCG,TOP2A
PRKCG,PARD3
PRKCG,MARK4
PRKCG,TAT
PRKCG,CHAT
PRKCG,PARD6A
PRKCG,DDX58
PRKCG,YWHAG
PRKCG,ITGB2
PRKCG,NFE2L2
PRKCG,GSK3A
PRKCG,EIF4E
PRKCG,HSP90AA1
PRKCG,HSP90AB1
PRKCG,GRIN2B
PRKCG,GRIN1
PRKCG,GJA1
PRKCG,NUMB
PRKCG,OCLN
PRKCG,PA2G4
PRKCG,GRIN2D
PRKCG,PEBP1
PRKCG,PICK1
PRKCG,PPP1R14A
PRKCG,DAB2
PRKCG,PTP21
PRKCG,CYTH2
PRKCG,STXBP1
PRKCG,APP
PRKCG,VTN
PRKCG,ADRBK1
PRKCG,IRS1
PRKCG,YWHAE
PRKCG,DVL2
RPL6,NFKB2
RPL6,RPL29
RPL6,EIF4A3
RPL6,MAGOH
RPL6,PTGFRN
RPL6,RPL3L
RPL6,BRD4
RPL6,FGF2
RPL6,SEL1L
RPL6,TP53RK
RPL6,STAU1
RPL6,UBL4A
RPL6,PAN2
RPL6,TARDBP
RPL6,UBC
RPL6,EIF2AK2
RPL6,RPA3
RPL6,RPA1
RPL6,RPA2
RPL6,CDK2
RPL6,VCP
RPL6,MT-ND1
RPL6,PXN
RPL6,NFX1
RPL6,CISD1
RPL6,MAGT1
RPL6,NOP56
RPL6,EIF6
RPL6,YWHAZ
RPL6,SMN1
RPL6,NPAS2
RPL6,IVNS1ABP
RPL6,SRP14
RPL6,NPM1
RPL6,ARRB1
RPL6,RPL35
RPL6,PUF60
RPL6,NEDD8
RPL6,M6PR
RPL6,PSIP1
RPL6,IL7R
RPL6,PARK2
RPL6,MDM2
RPL6,FBXO6
RPL6,MYBBP1A
RPL6,NAP1L1
RPL6,NCL
RPL6,RPL10
RPL6,RPL10L
RPL6,EEF2
RPL6,RPL15
RPL6,RPL17
RPL6,RPL18
RPL6,RPL19
RPL6,RPL21
RPL6,RPL22
RPL6,RPL24
RPL6,RPL27
RPL6,RPL27A
RPL6,FTSJ3
RPL6,RPL3
RPL6,RPL30
RPL6,GNL3
RPL6,RPL36
RPL6,NOLC1
RPL6,NOP2
RPL6,RPL7
RPL6,RPL7A
RPL6,RPL8
RPL6,RPLP0
RPL6,RPLP1
RPL6,RPS11
RPL6,RPS12
RPL6,RPS14
RPL6,RPS15
RPL6,RPS17
RPL6,RPS25
RPL6,RPS27A
RPL6,RPS27L
RPL6,RPS28
RPL6,RPS5
RPL6,RPS8
RPL6,RPS9
RPL6,RRS1
RPL6,HSP90AB1
RPL6,SIRT7
RPL6,SLC25A5
RPL6,NOP58
RPL6,RPL13
RPL6,ITGB3BP
RPL6,SUMO1
RPL6,CSNK2A1
RPL6,DDX21
RPL6,TPR
RPL6,PRPF8
RPL6,EPRS
RPL6,UQCRB
RPL6,FBL
RPL6,YWHAE
RPL6,ARRB2
PLXNA1,UBC
PLXNA1,NPTX1
PLXNA1,SEMA6D
PLXNA1,RHOD
PLXNA1,NRP2
PLXNA1,RANBP9
PLXNA1,CALM1
PLXNA1,NRP1
PLXNA1,PDIA3
PLXNA1,KDR
PLXNA1,RND1
PLXNA1,PLXNB1
PLXNA1,FES
PLXNA1,AKT1
PLXNA1,FBXO6
CAMK2B,CAMK2D
CAMK2B,CAMK2A
CAMK2B,ACTN4
CAMK2B,CALM1
CAMK2B,CAMK2N2
CAMK2B,SNCA
CAMK2B,ITPKA
CAMK2B,RXRG
CAMK2B,THRB
CAMK2B,YWHAB
CAMK2B,RAD23A
CAMK2B,PSMC5
CAMK2B,PLCB3
CAMK2B,SMYD3
CAMK2B,GRIN2A
CAMK2B,COL4A3
CAMK2B,ETS1
CAMK2B,HSP90AB1
CAMK2B,GRIN2B
CAMK2B,HSP90AA1
CAMK2B,GAPDH
CAMK2B,ATXN1
CAMK2B,TAT
CAMK2B,UBC
DLG3,ERBB4
DLG3,ATP2B4
DLG3,GDA
DLG3,GRIN2C
DLG3,SEMA4C
DLG3,CRIPT
DLG3,KLHDC3
DLG3,S100A3
DLG3,NLGN3
DLG3,APC
DLG3,GUCY1A2
DLG3,KRT35
DLG3,ANXA1
DLG3,NLGN1
DLG3,GRIN2A
DLG3,ATP2B2
DLG3,KRT34
DLG3,GRIN2B
DLG3,SYNGAP1
DLG3,SSTR2
DLG3,GRIK2
DLG3,KCNJ12
DLG3,NLGN2
DLG3,EXOC4
DLG3,GRIK5
DLG3,KCNA1
DLG3,EXOC7
DLG3,KRT82
DLG3,LIN7A
DLG3,KLGAP3
DLG3,HIST1H2BC
DLG3,EXOC3
DLG3,GRIN2D
DLG3,KRT85
DLG3,CAMK2A
DLG3,DLGAP1
DLG3,CNKSR2
DLG3,CACNG2
DLG3,KRT31
DLG3,GRIN1
DLG3,PTK2B
DLG3,KCNA4
DLG3,DLGAP4
DLG3,GLS2
DLG3,LPHN1
DLG3,LRP2
DLG3,CUL2
DLG3,SCN4A
DLG3,DLG1
DLG3,MAPK12
DLG3,DLG4
DLG3,KIF1B
DLG3,KHDRBS1
DLG3,SCN5A
DLG3,KCNJ2
DLG3,ABCA1
DLG3,CALM1
DLG3,PPP1CA
DLG3,UBC
DNAJC13,SNX1
DNAJC13,GIT1
DNAJC13,ATP6V1B1
DNAJC13,STUB1
DNAJC13,DNAJB11
DNAJC13,NPM1
DNAJC13,CALM1
DNAJC13,GADD45A
DNAJC13,RPS6KA6
DNAJC13,EGFR
DNAJC13,CUL3
DNAJC13,UBC
CAMKV,TCEA2
CAMKV,CALM1
CAMKV,HSP90AB1
CAMKV,APP
CAMKV,COPS5
CAMKV,HSP90AA1
CAMKV,UBC
ABLIM1,LDOC1
ABLIM1,ABRA
ABLIM1,KCNJ12
ABLIM1,YWHAE
ABLIM1,SREBF2
ABLIM1,HOOK2
ABLIM1,GOLGA2
ABLIM1,BEGAIN
ABLIM1,USHBP1
ABLIM1,TSC22D4
ABLIM1,ACTB
ABLIM1,CALCOCO2
ABLIM1,SFN
ABLIM1,ACTG1
ABLIM1,KRT15
ABLIM1,TRAF2
ABLIM1,PEX5
ABLIM1,APP
ABLIM1,VIM
ABLIM1,YWHAB
ABLIM1,PLSCR1
ABLIM1,TTN
ABLIM1,UBC
GRM5,HOMER3
GRM5,CALM1
GRM5,RGS12
GRM5,GOPC
GRM5,ADORA2A
GRM5,SIAH1
GRM5,GRASP
GRM5,EFNB2
GRM5,PRKCQ
GRM5,HOMER1
GRM5,PRKCB
GRM5,PRKCE
GRM5,PRKCG
GRM5,GPRASP1
GRM5,PRKCZ
GRM5,FLNA
GRM5,PRKCA
GRM5,UBC
MAPK8IP3,KLC1
MAPK8IP3,MAPK8
MAPK8IP3,DCTN1
MAPK8IP3,ZNF239
MAPK8IP3,ARF6
MAPK8IP3,KLC2
MAPK8IP3,WISP2
MAPK8IP3,RIC8A
MAPK8IP3,MAP2K4
MAPK8IP3,LGALS9
MAPK8IP3,C10ORF2
MAPK8IP3,MAPK8IP1
MAPK8IP3,ARL4D
MAPK8IP3,MAP2K3
MAPK8IP3,MAP3K11
MAPK8IP3,MAPK10
MAPK8IP3,MAPK8IP2
MAPK8IP3,MAP2K7
MAPK8IP3,DYM
MAPK8IP3,MAP2K1
MAPK8IP3,TLR9
MAPK8IP3,MKNK2
MAPK8IP3,MAP3K1
MAPK8IP3,MAPK9
MAPK8IP3,TLR2
MAPK8IP3,CAPZB
MAPK8IP3,ALK
MAPK8IP3,STAB1
MAPK8IP3,COL1A1
MAPK8IP3,PTK2
MAPK8IP3,MAP3K5
MAPK8IP3,LRRK2
MAPK8IP3,LRP1
MAPK8IP3,RAF1
MAPK8IP3,SRC
MAPK8IP3,KAT2A
MAPK8IP3,TIA1
MAPK8IP3,BCL6
MAPK8IP3,TLR4
MAPK8IP3,CASP3
MAPK8IP3,MAP3K1
MAPK8IP3,MAPK9
MAPK8IP3,TLR2
MAPK8IP3,CAPZB
MAPK8IP3,ALK
MAPK8IP3,STAB1
MAPK8IP3,COL1A1
MAPK8IP3,PTK2
MAPK8IP3,MAP3K5
MAPK8IP3,LRRK2
MAPK8IP3,LRP1
MAPK8IP3,RAF1
MAPK8IP3,SRC
MAPK8IP3,KAT2A
MAPK8IP3,TIA1
MAPK8IP3,BCL6
MAPK8IP3,TLR4
MAPK8IP3,CASP3
