Source,Interaction
DLG4,WFDC3
DLG4,FOXQ1
DLG4,ZIC5
DLG4,ADAM20
DLG4,GRIN2A
TRAPPC9,MAP4K4
TRAPPC9,TRAPPC4
TRAPPC9,TRAPPC8
TRAPPC9,TRAPPC12
TRAPPC9,TRAPPC3L
TRAPPC9,TRAPPC10
TRAPPC9,TRAPPC2L
TRAPPC9,TRAPPC3L
TRAPPC9,RAB3IP
TRAPPC9,TRAPPC2L
TRAPPC9,AMOTL2
TRAPPC9,IKBKB
TRAPPC9,NOTCH1
TRAPPC9,UBC
CAMSAP1,SKIL
CAMSAP1,SMAD1
CAMSAP1,SMAD9
CAMSAP1,EGR1
CAMSAP1,UBC
PTPRK,GSTK1
PTPRK,GADD45G
PTPRK,JUP
PTPRK,FKBP8
PTPRK,MAPK3
PTPRK,GHR
PTPRK,PTPRM
PTPRK,TK1
PTPRK,TEC
PTPRK,INSR
PTPRK,CBL
PTPRK,TEK
PTPRK,NSF
PTPRK,CSK
PTPRK,PDPK1
PTPRK,PXN
PTPRK,PDGFRB
PTPRK,LCK
PTPRK,CDH2
PTPRK,PSMD11
PTPRK,ERBB2
PTPRK,CSNK2B
PTPRK,GADD45A
PTPRK,UBC
NTRK3,NTF3
NTRK3,CASP3
NTRK3,NGFRAP
NTRK3,PTPN1
NTRK3,FRS2
NTRK3,SHC2
NTRK3,DOK5
NTRK3,KIDINS220
NTRK3,SQSTM1
NTRK3,IRAK3
NTRK3,IRAK1
NTRK3,RASGRF1
NTRK3,PLCG1
NTRK3,SH2D1A
NTRK3,SHC1
NTRK3,HTR2A
NTRK3,HSP90AB1
NTRK3,FOS
NTRK3,NGFRAP
NTRK3,DYNLL1
NTRK3,MAPK1
NTRK3,JUN
NTRK3,HSP90AA1
NTRK3,APP
NTRK3,MAPK3
CMIP,MIB1
CMIP,FLNA
CMIP,PIK3R1
CMIP,UBC
ARHGAP23,RPAP1
ARHGAP23,YWHAQ
ARHGAP23,HNRNPA1
ARHGAP23,MEPCE
ARHGAP23,UBC
GNAQ,PLCB3
GNAQ,RGS2
GNAQ,GNAS
GNAQ,RGS13
GNAQ,TTC1
GNAQ,PSD
GNAQ,IQSEC1
GNAQ,RIC8B
GNAQ,FFAR1
GNAQ,CDK19
GNAQ,GALR2
GNAQ,HTR2B
GNAQ,RGS18
GNAQ,RGS5
GNAQ,FFAR2
GNAQ,S1PR2
GNAQ,PLCB1
GNAQ,PPT1
GNAQ,WDR36
GNAQ,GRM7
GNAQ,CYTH3
GNAQ,CRHR1
GNAQ,MRGPRX1
GNAQ,VIPR1
GNAQ,BDKRB1
GNAQ,PTGIR
GNAQ,RGS7
GNAQ,LUM
GNAQ,S1PR3
GNAQ,AGTR1
GNAQ,RGS4
GNAQ,RIC8A
GNAQ,PLCB2
GNAQ,AKAP13
GNAQ,RGS16
GNAQ,TBXA2R
GNAQ,CXCR5
GNAQ,HTR6
GNAQ,PIK3CA
GNAQ,ADHFE1
GNAQ,ADORA3
GNAQ,HTR2A
GNAQ,GRM4
GNAQ,NT5C3A
GNAQ,HTR2C
GNAQ,F2R
GNAQ,CYTH2
GNAQ,CYTH1
GNAQ,CHRM3
GNAQ,TUB
GNAQ,TSHR
GNAQ,ADRBK1
GNAQ,SLC9A3R1
GNAQ,ARF6
GNAQ,ADRA1B
GNAQ,BTK
GNAQ,RARA
GNAQ,PARP2
GNAQ,PIK3R1
GNAQ,ARRB1
GNAQ,ATP4A
GNAQ,CCR5
GNAQ,KDR
GNAQ,UBC
GRM2,HTR2A
GRM2,RANBP9
GRM2,RGS12
GRM2,GRASP
GRM2,GNA15
GRM2,GNAQ
DGKH,DGKD
DGKH,TRAF5
DGKH,ARRB1
RPL14,PDLDA1
RPL14,G3BP1
RPL14,KRT18
RPL14,TLE6
RPL14,STAU1
RPL14,PAN2
RPL14,KCNK4
RPL14,UBL4A
RPL14,CDK2
RPL14,TARDBP
RPL14,CSTF1
RPL14,PPM1D
RPL14,PXN
RPL14,KLF10
RPL14,UBC
RPL14,TP53RK
RPL14,PCK1
RPL14,RBM5
RPL14,RPL34
RPL14,ASF1A
RPL14,CSNK1A1
RPL14,PTEN
RPL14,NOP56
RPL14,EIF2AK2
RPL14,RPL35
RPL14,SRP14
RPL14,ARRB2
RPL14,RPL27
RPL14,UQCRB
RPL14,NETO1
RPL14,PTGFS3
RPL14,HSP90AB1
RPL14,NPM1
RPL14,RIOK2
RPL14,RPL10
RPL14,RPS10
RPL14,RPLP2
RPL14,RPL38
RPL14,RPL36
RPL14,CSNK1E
RPL14,TCF3
RPL14,NAP1L1
RPL14,RPL32
RPL14,RPL27A
RPL14,ZBTB1
RPL14,RPL21
RPL14,RPL23
RPL14,RPL23A
RPL14,RPL24
RPL14,ACTA2
RPL14,RPL18A
RPL14,RPL29
RPL14,RPL3
RPL14,RPL30
RPL14,RPL31
RPL14,RPL17
RPL14,RPL15
RPL14,RPL13
RPL14,RPL12
RPL14,RPL37A
RPL14,RPL11
RPL14,RPL7
RPL14,RPL7A
RPL14,RPL8
RPL14,RPL9
RPL14,RPLP0
RPL14,RPL10L
RPL14,RPL10A
RPL14,RPS11
RPL14,RPS12
RPL14,RPS13
RPL14,RPS15A
RPL14,RPL22
RPL14,RPS19
RPL14,RPS20
RPL14,RPS21
RPL14,RPS23
RPL14,RPS25
RPL14,RPS26
RPL14,RPS27A
RPL14,RPS27L
RPL14,RPS28
RPL14,RPS3A
RPL14,RPS5
RPL14,RPS7
RPL14,SEC61A1
RPL14,SIRT7
RPL14,SLC25A5
RPL14,PARP1
RPL14,NENF
RPL14,NCL
RPL14,MRPL12
RPL14,MAP3K1
RPL14,ICT1
RPL14,TUFM
RPL14,H2AFX
RPL14,EEF2
RPL14,CDH2
RPL14,VHL
RPL14,RPS17
FAM49B,IKBKE
FAM49B,MAPK6
FAM49B,UBC
SNX20,SELPLG
SNX20,GKAP1
SNX20,KLHL12
SNX20,MEGEA11
SNX20,PLSCR1
LLGL1,CD46
LLGL1,ACD
LLGL1,RANBP9
LLGL1,MYH10
LLGL1,TERF2
LLGL1,STX4
LLGL1,PARD3
LLGL1,PARD6B
LLGL1,PARD6G
LLGL1,PRKCI
LLGL1,PARD6A
LLGL1,NPM1
LLGL1,KBTBD7
LLGL1,GABARAPL1
LLGL1,SQSTM1
LLGL1,CACNA1A
LLGL1,CUL3
LLGL1,UBC
G3BP2,ING4
G3BP2,UBAP2
G3BP2,DDX10
G3BP2,RPL3L
G3BP2,C3ORF17
G3BP2,DDX24
G3BP2,NUFIP2
G3BP2,NFKBIA
G3BP2,RPL22L1
G3BP2,ATXN2L
G3BP2,CA9
G3BP2,RNH1
G3BP2,FARS2
G3BP2,STK24
G3BP2,NUP214
G3BP2,RPS6KA1
G3BP2,NUP62
G3BP2,TARDBP
G3BP2,WDR36
G3BP2,CDK2
G3BP2,GNL2
G3BP2,VCP
G3BP2,NFKB1
G3BP2,TERF2
G3BP2,RIOK2
G3BP2,RPF2
G3BP2,PIN1
G3BP2,PTEN
G3BP2,ASCC3
G3BP2,YWHAZ
G3BP2,ABL1
G3BP2,TLN1
G3BP2,ARRB2
G3BP2,EIF1B
G3BP2,USP10
G3BP2,UBC
G3BP2,MDM2
G3BP2,TP53
G3BP2,SUMO2
G3BP2,UIMC1
G3BP2,CUL1
G3BP2,CUL3
G3BP2,COPS5
G3BP2,CAND1
GRM1,ADORA1
GRM1,TRPC1
GRM1,OPTN
GRM1,ADRBK1
GRM1,KPNA3
GRM1,ITPR1
GRM1,KPNA1
GRM1,HOMER2
GRM1,GRASP
GRM1,RGS12
GRM1,TUBB2A
GRM1,HOMER1
GRM1,GNAQ
GRM1,EFNB2
GRM1,HTT
GRM1,GAPDH
GRM1,TUBB
GRM1,PRKCA
GRM1,UBC
GRM1,GPRASP1
ITM2C,STT3A
ITM2C,BACE1
ITM2C,RNF7
ITM2C,RYK
ITM2C,MTNR1B
ITM2C,EGR1
ITM2C,FURIN
ITM2C,DLG4
ITM2C,UBC
ODZ4,CAND1
GNB2L1,SMPD3
GNB2L1,SRC
GNB2L1,ANXA2
GNB2L1,ITGB5
GNB2L1,DGCR14
GNB2L1,TNF
GNB2L1,NSMAF
GNB2L1,PRPF31
GNB2L1,CEP55
GNB2L1,LARP4B
GNB2L1,EED
GNB2L1,RASA3
GNB2L1,IGF1R
GNB2L1,IFNAR2
GNB2L1,INSR
GNB2L1,TYK2
GNB2L1,HSP90B1
GNB2L1,EIF6
GNB2L1,RPS27L
GNB2L1,IK
GNB2L1,WDR83
GNB2L1,HNRNPH2
GNB2L1,HABP4
GNB2L1,HSD17B4
GNB2L1,PTPRM
GNB2L1,ST7
GNB2L1,DYNLL1
GNB2L1,SAT1
GNB2L1,NCAPH2
GNB2L1,SLC6A3
GNB2L1,SYNCRIP
GNB2L1,TARDBP
GNB2L1,CHERP
GNB2L1,UBL4A
